year,month,day,temperature,_id
2014,12,8,-16,5e7ac44493d299b2e849d0a7
2014,12,9,-19,5e7ac44493d299b2e849d0a8
2014,12,10,-18,5e7ac44493d299b2e849d0a9
2014,12,11,-22,5e7ac44493d299b2e849d0aa
2014,12,12,-21,5e7ac44493d299b2e849d0ab
2014,12,13,-24,5e7ac44493d299b2e849d0ac
2014,12,14,-23,5e7ac44493d299b2e849d0ad
2014,12,15,-22,5e7ac44493d299b2e849d0ae
2014,12,16,-26,5e7ac44493d299b2e849d0af
2014,12,17,-16,5e7ac44493d299b2e849d0b0
2014,12,18,-18,5e7ac44493d299b2e849d0b1
2014,12,19,-19,5e7ac44493d299b2e849d0b2
2014,12,20,-20,5e7ac44493d299b2e849d0b3
2014,12,21,-27,5e7ac44493d299b2e849d0b4
2014,12,22,-23,5e7ac44493d299b2e849d0b5
2014,12,23,-19,5e7ac44493d299b2e849d0b6
2014,12,24,-21,5e7ac44493d299b2e849d0b7
2014,12,25,-24,5e7ac44493d299b2e849d0b8
2014,12,26,-23,5e7ac44493d299b2e849d0b9
2014,12,27,-12,5e7ac44493d299b2e849d0ba
2014,12,28,-9,5e7ac44493d299b2e849d0bb
2014,12,29,-11,5e7ac44493d299b2e849d0bc
2014,12,30,-15,5e7ac44493d299b2e849d0bd
2014,12,31,-19,5e7ac44493d299b2e849d0be
2015,1,1,-21,5e7ac44493d299b2e849d0bf
2015,1,2,-19,5e7ac44493d299b2e849d0c0
2015,1,3,-18,5e7ac44493d299b2e849d0c1
2015,1,4,-15,5e7ac44493d299b2e849d0c2
2015,1,5,-19,5e7ac44493d299b2e849d0c3
2015,1,6,-16,5e7ac44493d299b2e849d0c4
2015,1,7,-9,5e7ac44493d299b2e849d0c5
2015,1,8,-14,5e7ac44493d299b2e849d0c6
2015,1,9,-17,5e7ac44493d299b2e849d0c7
2015,1,10,-16,5e7ac44493d299b2e849d0c8
2015,1,11,-15,5e7ac44493d299b2e849d0c9
2015,1,12,-16,5e7ac44493d299b2e849d0ca
2015,1,13,-10,5e7ac44493d299b2e849d0cb
2015,1,14,-13,5e7ac44493d299b2e849d0cc
2015,1,15,-18,5e7ac44493d299b2e849d0cd
2015,1,16,-20,5e7ac44493d299b2e849d0ce
2015,1,17,-16,5e7ac44493d299b2e849d0cf
2015,1,18,-18,5e7ac44493d299b2e849d0d0
2015,1,19,-19,5e7ac44493d299b2e849d0d1
2015,1,20,-14,5e7ac44493d299b2e849d0d2
2015,1,21,-13,5e7ac44493d299b2e849d0d3
2015,1,22,-13,5e7ac44493d299b2e849d0d4
2015,1,23,-22,5e7ac44493d299b2e849d0d5
2015,1,24,-17,5e7ac44493d299b2e849d0d6
2015,1,25,-18,5e7ac44493d299b2e849d0d7
2015,1,26,-11,5e7ac44493d299b2e849d0d8
2015,1,27,-17,5e7ac44493d299b2e849d0d9
2015,1,28,-18,5e7ac44493d299b2e849d0da
2015,1,29,-13,5e7ac44493d299b2e849d0db
2015,1,30,-10,5e7ac44493d299b2e849d0dc
2015,1,31,-14,5e7ac44493d299b2e849d0dd
2015,2,1,-16,5e7ac44493d299b2e849d0de
2015,2,2,-18,5e7ac44493d299b2e849d0df
2015,2,3,-13,5e7ac44493d299b2e849d0e0
2015,2,4,-13,5e7ac44493d299b2e849d0e1
2015,2,5,-16,5e7ac44493d299b2e849d0e2
2015,2,6,-14,5e7ac44493d299b2e849d0e3
2015,2,7,-14,5e7ac44493d299b2e849d0e4
2015,2,8,-21,5e7ac44493d299b2e849d0e5
2015,2,9,-20,5e7ac44493d299b2e849d0e6
2015,2,10,-16,5e7ac44493d299b2e849d0e7
2015,2,11,-13,5e7ac44493d299b2e849d0e8
2015,2,12,-12,5e7ac44493d299b2e849d0e9
2015,2,13,-11,5e7ac44493d299b2e849d0ea
2015,2,14,-8,5e7ac44493d299b2e849d0eb
2015,2,15,-5,5e7ac44493d299b2e849d0ec
2015,2,16,-11,5e7ac44493d299b2e849d0ed
2015,2,17,-8,5e7ac44493d299b2e849d0ee
2015,2,18,-4,5e7ac44493d299b2e849d0ef
2015,2,19,-6,5e7ac44493d299b2e849d0f0
2015,2,20,-5,5e7ac44493d299b2e849d0f1
2015,2,21,-8,5e7ac44493d299b2e849d0f2
2015,2,22,-6,5e7ac44493d299b2e849d0f3
2015,2,23,-9,5e7ac44493d299b2e849d0f4
2015,2,24,-7,5e7ac44493d299b2e849d0f5
2015,2,25,-8,5e7ac44493d299b2e849d0f6
2015,2,26,-11,5e7ac44493d299b2e849d0f7
2015,2,27,-10,5e7ac44493d299b2e849d0f8
2015,2,28,-5,5e7ac44493d299b2e849d0f9
2015,3,1,-7,5e7ac44493d299b2e849d0fa
2015,3,2,-7,5e7ac44493d299b2e849d0fb
2015,3,3,-8,5e7ac44493d299b2e849d0fc
2015,3,4,-9,5e7ac44493d299b2e849d0fd
2015,3,5,-6,5e7ac44493d299b2e849d0fe
2015,3,6,-2,5e7ac44493d299b2e849d0ff
2015,3,7,+1,5e7ac44493d299b2e849d100
2015,3,8,-4,5e7ac44493d299b2e849d101
2015,3,9,-6,5e7ac44493d299b2e849d102
2015,3,10,-7,5e7ac44493d299b2e849d103
2015,3,11,+1,5e7ac44493d299b2e849d104
2015,3,12,-1,5e7ac44493d299b2e849d105
2015,3,13,0,5e7ac44493d299b2e849d106
2015,3,14,+1,5e7ac44493d299b2e849d107
2015,3,15,+1,5e7ac44493d299b2e849d108
2015,3,16,+3,5e7ac44493d299b2e849d109
2015,3,17,+2,5e7ac44493d299b2e849d10a
